Geneid	Chr	Start	End	Strand	Length	TSS
ENSG00000223972	1	11869	12227	+	1735	11869.0
ENSG00000227232	1	14404	14501	-	1351	14501.0
ENSG00000278267	1	17369	17436	-	68	17436.0
ENSG00000243485	1	29554	30039	+	1021	29554.0
ENSG00000237613	1	34554	35174	-	1219	35174.0
ENSG00000268020	1	52473	53312	+	840	52473.0
ENSG00000240361	1	62948	63887	+	940	62948.0
ENSG00000186092	1	69091	70008	+	918	69091.0
ENSG00000239945	1	89551	90050	-	1319	90050.0
ENSG00000238009	1	89295	91629	-	3726	91629.0
ENSG00000233750	1	131025	134836	+	3812	131025.0
ENSG00000268903	1	135141	135895	-	755	135895.0
ENSG00000269981	1	137682	137965	-	284	137965.0
ENSG00000239906	1	139790	139847	-	323	139847.0
ENSG00000241860	1	141474	143011	-	6195	143011.0
ENSG00000222623	1	157784	157887	-	104	157887.0
ENSG00000241599	1	160446	160690	+	457	160446.0
ENSG00000279928	1	182393	182746	+	718	182393.0
ENSG00000279457	1	184923	185350	-	1982	185350.0
ENSG00000273874	1	187891	187958	-	68	187958.0
ENSG00000241670	1	258568	259024	-	457	259024.0
ENSG00000228463	1	257864	259025	-	4039	259025.0
ENSG00000236679	1	347982	348366	-	385	348366.0
ENSG00000236743	1	357383	357586	-	676	357586.0
ENSG00000236601	1	358857	358929	+	1095	358857.0
ENSG00000237094	1	365389	365692	-	4792	365692.0
ENSG00000269732	1	439870	440232	+	363	439870.0
ENSG00000278566	1	450740	451678	-	939	451678.0
ENSG00000224813	1	485026	485208	-	183	485208.0
ENSG00000233653	1	487101	489387	+	2477	487101.0
ENSG00000250575	1	491225	491989	-	1239	491989.0
ENSG00000278757	1	516376	516479	-	104	516479.0
ENSG00000230021	1	585989	586358	-	4479	586358.0
ENSG00000235146	1	587629	587701	+	635	587629.0
ENSG00000225972	1	629062	629433	+	372	629062.0
ENSG00000225630	1	629640	630683	+	1044	629640.0
ENSG00000237973	1	631074	632616	+	1543	631074.0
ENSG00000278791	1	632325	632413	-	89	632413.0
ENSG00000229344	1	632757	633438	+	682	632757.0
ENSG00000240409	1	633535	633741	+	207	633535.0
ENSG00000248527	1	633696	634376	+	681	633696.0
ENSG00000198744	1	634376	634922	+	547	634376.0
ENSG00000268663	1	674842	675265	+	424	674842.0
ENSG00000273547	1	685716	686654	-	939	686654.0
ENSG00000283574	1	720024	720206	-	183	720206.0
ENSG00000229376	1	722092	724360	+	2455	722092.0
ENSG00000228327	1	725885	729804	-	6432	729804.0
ENSG00000223181	1	758233	758336	-	104	758336.0
ENSG00000229905	1	760911	761154	+	456	760911.0
ENSG00000237491	1	778770	779092	+	5517	778770.0
ENSG00000230092	1	800879	801163	-	872	801163.0
ENSG00000177757	1	817371	818202	+	1947	817371.0
ENSG00000228794	1	825138	825552	+	9470	825138.0
ENSG00000225880	1	826206	827522	-	1317	827522.0
ENSG00000230368	1	868071	868675	-	1971	868675.0
ENSG00000234711	1	873292	874349	+	1058	873292.0
ENSG00000283040	1	874529	874591	-	837	874591.0
ENSG00000272438	1	904834	904957	+	351	904834.0
ENSG00000230699	1	911435	911473	+	3043	911435.0
ENSG00000241180	1	914171	914444	+	443	914171.0
ENSG00000223764	1	916865	921016	-	4152	921016.0
ENSG00000187634	1	923928	924948	+	4166	923928.0
ENSG00000188976	1	944204	944800	-	5539	944800.0
ENSG00000187961	1	960587	960800	+	3395	960587.0
ENSG00000187583	1	966497	966614	+	2833	966497.0
ENSG00000187642	1	975204	976269	-	3424	976269.0
ENSG00000272512	1	995966	998051	-	2086	998051.0
ENSG00000188290	1	998962	999432	-	1118	999432.0
ENSG00000187608	1	1001138	1001281	+	942	1001138.0
ENSG00000231702	1	1008076	1008229	-	154	1008229.0
ENSG00000224969	1	1011997	1012190	-	471	1012190.0
ENSG00000188157	1	1020123	1020373	+	10758	1020123.0
ENSG00000242590	1	1055033	1055215	+	402	1055033.0
ENSG00000217801	1	1059734	1059846	+	2171	1059734.0
ENSG00000273443	1	1062208	1062808	-	829	1062808.0
ENSG00000237330	1	1070966	1072575	-	1902	1072575.0
ENSG00000131591	1	1081818	1082987	-	6322	1082987.0
